,DNA_0_11_A,DNA_0_11_B,DNA_0_11_C,DNA_0_5_A,DNA_0_5_B,DNA_0_5_C,DNA_0_7_A,DNA_0_7_B,DNA_0_7_C,DNA_0_9_A,DNA_0_9_B,DNA_0_9_C,DNA_10_11_A,DNA_10_11_B,DNA_10_11_C,DNA_10_5_A,DNA_10_5_B,DNA_10_5_C,DNA_10_7_A,DNA_10_7_B,DNA_10_7_C,DNA_10_9_A,DNA_10_9_B,DNA_10_9_C,DNA_110_11_A,DNA_110_11_B,DNA_110_11_C,DNA_110_5_A,DNA_110_5_B,DNA_110_5_C,DNA_110_7_A,DNA_110_7_B,DNA_110_7_C,DNA_110_9_A,DNA_110_9_B,DNA_110_9_C,DNA_40_11_A,DNA_40_11_B,DNA_40_11_C,DNA_40_5_A,DNA_40_5_B,DNA_40_5_C,DNA_40_7_A,DNA_40_7_B,DNA_40_7_C,DNA_40_9_A,DNA_40_9_B,DNA_40_9_C,DNA_70_11_A,DNA_70_11_B,DNA_70_11_C,DNA_70_5_A,DNA_70_5_B,DNA_70_5_C,DNA_70_7_A,DNA_70_7_B,DNA_70_7_C,DNA_70_9_A,DNA_70_9_B,DNA_70_9_C
DNA_0_11_A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DNA_0_11_B,-6.71295605603659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DNA_0_11_C,-4.03086128804829,-6.46125349799008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DNA_0_5_A,2.96910645820806,1.33756669684096,-6.27976055065437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DNA_0_5_B,3.42962767119409,1.90531435718915,-5.42303138212456,-8.65912563298562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DNA_0_5_C,3.01993243612949,1.76315873477798,-4.84048504796771,-8.36647831497499,-9.09307277409414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DNA_0_7_A,2.05549645220082,-1.4871680929899,-6.77750342318389,-7.96107930562398,-8.84615126385741,-6.8162828659653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DNA_0_7_B,4.13960213157808,2.67714989768768,-5.52394975875818,-7.86592515732687,-9.29677907224339,-8.29158467014112,-8.76962518916793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DNA_0_7_C,3.55565476841639,0.520912898522294,-6.02089484417789,-7.5013430821865,-8.9127548028126,-7.92645232575318,-7.8241931287441,-7.23969078206106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DNA_0_9_A,3.65676171160438,0.689209549569309,-6.76542660274978,-6.1409329129377,-6.79254629172672,-4.57113004502781,-6.17789345651367,-5.76669920397258,-4.92006865279165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DNA_0_9_B,3.58113514982473,1.95349410124008,-6.42362794906974,-5.61610191435453,-7.35586804598701,-5.28368197783592,-7.63095961597409,-5.54513208144659,-6.03148792745771,-6.62889778432978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DNA_0_9_C,4.08452907396516,1.06994646981813,-7.06858394210817,-4.54134609423845,-4.34633148326605,-3.37770238622894,-4.66496487218826,-2.84110776914997,-2.40601412295628,-6.51962170735459,-6.23303709883279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DNA_10_11_A,1.44483028568742,2.82874658466539,-7.19318904190374,-8.35589384993556,-8.73544464003878,-7.46936322310966,-8.18593113647763,-7.59405464966771,-7.11212742822621,-8.71167398645519,-8.96408028367984,-8.53457450569465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DNA_10_11_B,2.73132402867214,3.79892384877715,-4.88316546020806,-6.97518905284761,-7.50966579118165,-5.97898581307804,-6.83517354842928,-6.1800768373702,-6.03017846361957,-6.71122431047106,-7.5249166405794,-7.04487651176451,-12.0912707567312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
