,cDNA_0_11_A,cDNA_0_11_B,cDNA_0_11_C,cDNA_0_5_A,cDNA_0_5_B,cDNA_0_5_C,cDNA_0_7_A,cDNA_0_7_B,cDNA_0_7_C,cDNA_0_9_A,cDNA_0_9_B,cDNA_0_9_C,cDNA_10_11_A,cDNA_10_11_B,cDNA_10_11_C,cDNA_10_5_A,cDNA_10_5_B,cDNA_10_5_C,cDNA_10_7_A,cDNA_10_7_B,cDNA_10_7_C,cDNA_10_9_A,cDNA_10_9_B,cDNA_10_9_C,cDNA_110_11_A,cDNA_110_11_B,cDNA_110_11_C,cDNA_110_5_A,cDNA_110_5_B,cDNA_110_5_C,cDNA_110_7_A,cDNA_110_7_B,cDNA_110_7_C,cDNA_110_9_A,cDNA_110_9_B,cDNA_110_9_C,cDNA_40_11_A,cDNA_40_11_B,cDNA_40_11_C,cDNA_40_5_A,cDNA_40_5_B,cDNA_40_5_C,cDNA_40_7_A,cDNA_40_7_B,cDNA_40_7_C,cDNA_40_9_A,cDNA_40_9_B,cDNA_40_9_C,cDNA_70_11_A,cDNA_70_11_B,cDNA_70_11_C,cDNA_70_5_A,cDNA_70_5_B,cDNA_70_5_C,cDNA_70_7_A,cDNA_70_7_B,cDNA_70_7_C,cDNA_70_9_A,cDNA_70_9_B,cDNA_70_9_C
cDNA_0_11_A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cDNA_0_11_B,-7.56261200113036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cDNA_0_11_C,-3.27931995213496,-2.64536079560818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cDNA_0_5_A,6.84909795335626,8.34431466863451,-4.04761632821928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cDNA_0_5_B,7.39688599735454,8.89861969432896,-4.86873949822526,-7.85981638666645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cDNA_0_5_C,6.83161623095403,8.48262177556019,-5.29352211747786,-8.54190794192739,-8.72495729862661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cDNA_0_7_A,7.83390531773962,9.28422116919688,-4.36188783573109,-6.43879182012809,-6.67766552709885,-7.34407330581539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cDNA_0_7_B,8.1374521482122,9.99709198648199,-3.21212452632939,-6.25014416167653,-7.70110833254928,-6.79618980639421,-9.47760217364781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cDNA_0_7_C,7.96994062032382,9.21662413284964,-3.09739188668692,-5.6946233370749,-6.02604334419096,-6.67888721457706,-7.21011887132261,-8.53004165667302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cDNA_0_9_A,8.67361364356371,11.2806555333299,-3.74844176392718,-3.05105876732315,-2.52397884319441,-5.01883886022293,-0.0178623539578298,1.64853610638595,1.62921734329622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cDNA_0_9_B,4.9043240996594,5.80113787100993,-4.49865146950137,-3.46435242261545,-4.97497890403554,-5.27603926614666,-4.28729834322159,-1.95430042989211,-2.41330822394331,-3.14098747400533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
